Q260,Jean-François Champollion
Q5252,Salh d'Escola
Q5258,Graindor de Douai
Q5260,Jaufre Rudel
Q5264,Hippocrates
Q5271,Hugh Primas
Q5269,Peire Vidal
Q5280,Laurent Mourguet
Q5284,Bill Gates
Q5327,Adolf Butenandt
Q5331,Vinko Kambič
Q5335,Harm Wiersma
Q5333,Charles Lyell
Q5336,Guntis Valneris
Q5346,Matija Gogala
Q5347,Franc Gubenšek
Q5344,Roman Jerala
Q5345,Boris Sket
Q5350,Boris Kryštufek
Q5351,William IX
Q5348,Jovan Hadži
Q5349,Fran Jesenko
Q5354,Ernst Mayr
Q5352,Ernest Mayer
Q5353,Gilles de Corbeil
Q5355,Gilles de Paris
Q5359,Vital de Blois
Q5356,Gautier de Coincy
Q5362,Narcis Mršić
Q5363,Maria de Ventadorn
Q5360,Štefan Michieli
Q5361,Geoffrey of Villehardouin
Q5364,Anton Polenec
Q5365,Kazimir Tarman
Q5370,Tone Wraber
Q5371,Thibaud d'Étampes
Q5368,Maks Wraber
Q5376,Robert the Monk
Q5382,Wace
Q5383,David Bowie
Q5380,Robert de Boron
Q5391,Rigord
Q5396,Louis Blériot
Q5404,Albéric de Pisançon
Q5409,Peire Rogier
Q5432,Francisco Goya
Q5442,Sara Simeoni
Q5443,Greta Garbo
Q5447,Eddy Ottoz
Q5444,Pietro Mennea
Q5450,Antonietta Di Martino
Q5454,Isabella Teotochi Albrizzi
Q5458,Rudolf Feustel
Q5479,Daniele Greco
Q5547,Antonio Canova
Q5553,Luigi Bailo
Q5558,Bartolomeo Coghetto
Q5571,Andrea del Sarto
Q5577,Salvador Dalí
Q5582,Vincent van Gogh
Q5580,Albrecht Dürer
Q5581,Vittore Carpaccio
Q5586,Katsushika Hokusai
Q5587,Marloes Horst
Q5585,Giovanni Giocondo
Q5591,Pinturicchio
Q5588,Frida Kahlo
Q5589,Henri Matisse
Q5594,Antonello da Messina
Q5592,Michelangelo
Q5593,Pablo Picasso
Q5598,Rembrandt
Q5599,Peter Paul Rubens
Q5597,Raphael
Q5603,Andy Warhol
Q5600,Mimar Sinan
Q5604,Frank Lloyd Wright
Q5608,Eminem
Q5618,Mahieu de Gant
Q5617,Marie de France
Q5623,Aimeric de Peguilhan
Q5621,Mahieu le Juif
Q5626,Odo of Deuil
Q5630,Fulcher of Chartres
Q5631,Hugh of Fouilloy
Q5650,Guiot de Provins
Q5651,John of Hauville
Q5648,Gautier d'Arras
Q5649,Gui de Cambrai
Q5652,Hélinand of Froidmont
Q5658,Hugues III d'Oisy
Q5659,Conon de Béthune
Q5656,Héloïse d’Argenteuil
Q5661,Lambert of Ardres
Q5664,Fra Angelico
Q5670,Abu Nuwas
Q5669,Sandro Botticelli
Q5673,Hans Christian Andersen
Q5679,Lord Byron
Q5676,Matsuo Bashō
Q5682,Miguel de Cervantes
Q5683,Geoffrey Chaucer
Q5681,Andrea Mantegna
Q5686,Charles Dickens
Q5685,Anton Chekhov
Q5721,Philippe Pétain
Q5738,Adolphe Thiers
Q5749,Pierre-Joseph Proudhon
Q5752,Peter Kropotkin
Q5795,Carmelita Jeter
Q5793,Shelly-Ann Fraser-Pryce
Q5799,Allyson Felix
Q5796,Veronica Campbell-Brown
Q5803,Sanya Richards-Ross
Q5807,DeeDee Trotter
Q5805,Christine Ohuruogu
Q5811,Masaccio
Q5809,Che Guevara
Q5812,Novak Djokovic
Q5819,José Bové
Q5816,Mao Zedong
Q5822,Piero della Francesca
Q5820,Mariya Savinova
Q5821,Dan O'Brien
Q5827,Pietro Perugino
Q5829,Jean-Luc Mélenchon
Q5834,Caster Semenya
Q5844,Aslı Çakır Alptekin
Q5865,Maryam Yusuf Jamal
Q5878,Gabriel García Márquez
Q5879,Johann Wolfgang von Goethe
Q5877,Meseret Defar
Q5912,Marcel Duchamp
Q5921,Chuck Berry
Q5928,Jimi Hendrix
Q5950,James Brown
Q5959,Quintus Curtius Rufus
Q5969,Eddie Cochran
Q5977,Buddy Holly
Q5998,Vivian Cheruiyot
Q6003,Tirunesh Dibaba
Q6008,Sally Kipyego
Q6013,James Heneghan
Q6017,Yuliya Zaripova
Q6021,Sofia Assefa
Q6026,Sally Pearson
Q6030,Dawn Harper-Nelson
Q6033,Kellie Wells
Q6050,Anna de Noailles
Q6060,50 Cent
Q6078,Dr. Dre
Q6079,Natalya Antyukh
Q6086,Lashina Demus
Q6091,Jessica B. Hill
Q6096,Snoop Dogg
Q6100,Tatyana Chernova
Q6101,Marco Polo
Q6107,Tupac Shakur
Q6105,Hebe Camargo
Q6184,Plotius Tucca
Q6195,Juan Antonio Flecha
Q6198,Pepi II
Q6197,Horace
Q6215,Ramesses VII
Q6242,Marianne Vos
Q6240,Hafez
Q6260,Tiki Gelana
Q6270,Priscah Jeptoo
Q6279,Joe Biden
Q6281,Elena Lashmanova
Q6294,Hillary Clinton
Q6297,Olga Kaniskina
Q6300,Anna Chicherova
Q6304,Brigetta Barrett
Q6310,Jennifer Suhr
Q6312,Yarisley Silva
Q6319,Yelena Isinbayeva
Q6324,Brittney Reese
Q6332,Janay DeLoach
Q6338,Olga Rypakova
Q6351,Olha Saladukha
Q6348,Caterine Ibargüen
Q6353,Gerardus Mercator
Q6357,Valerie Adams
Q6363,Yevgeniya Kolodko
Q6367,Ana Free
Q6370,Gong Lijiao
Q6379,Sandra Perković
Q6386,Darya Pishchalnikova
Q6391,Li Yanfeng
Q6395,Tatyana Lysenko
Q6399,Anita Włodarczyk
Q6404,Betty Heidler
Q6419,Barbora Špotáková
Q6427,Christina Obergföll
Q6432,Linda Stahl
Q6473,Klaus Störtebeker
Q6515,Mervyn Peake
Q6512,Søren Kierkegaard
Q6519,Wolf Haas
Q6527,Jean-Jacques Rousseau
Q6530,Stanisław Lem
Q6538,Günter Grass
